A_Ang,A_vel
-0.31,-1.01
-0.41,-0.67
-0.41,0.56
-0.25,2.46
0.06,3.58
0.4,3.13
0.7,3.25
1.11,4.59
1.64,5.6
2.17,5.15
2.61,4.59
3.05,4.25
3.45,3.69
3.78,3.25
4.06,2.57
4.28,2.35
4.52,2.69
4.88,4.59
5.3,3.92
5.6,2.35
5.81,2.91
6.05,2.24
6.15,0.78
6.24,1.45
6.46,2.91
6.71,2.24
6.84,0.67
6.95,1.57
7.22,3.58
7.62,3.25
7.83,1.34
7.83,-0.56
7.71,-1.34
7.69,0.56
7.84,1.79
8.09,2.69
8.31,1.9
8.47,1.57
8.7,2.57
8.96,2.91
9.17,1.68
9.23,-0.45
9.09,-2.13
8.92,-1.79
8.83,-0.9
8.91,1.23
9.18,3.25
9.52,2.69
9.69,0.45
9.61,-1.79
9.48,-1.01
9.42,0.11
9.53,1.23
9.77,2.91
10.1,2.13
10.23,0.34
10.16,-1.12
10.04,-1.68
9.95,-1.34
9.84,-1.34
9.77,0.11
9.87,1.68
10.12,2.91
10.49,3.36
10.73,1.34
10.66,-1.79
10.35,-3.92
10.02,-3.25
9.81,-1.45
9.8,0.67
10.03,2.91
10.3,2.13
10.44,0.45
10.36,-1.68
10.11,-2.8
9.88,-1.68
9.84,0.67
10.02,2.57
10.33,2.8
10.48,-0.22
10.4,-1.23
10.22,-2.13
10.08,-0.56
10.09,0.78
10.2,1.34
10.32,0.45
10.3,-0.9
10.19,-1.34
10.02,-2.24
9.84,-1.57
9.79,0.0
9.86,1.34
10.05,2.01
10.24,1.57
10.29,0.11
10.21,-1.57
10.04,-2.01
9.91,-1.34
9.88,-0.11
9.94,1.01
10.03,1.23
10.15,1.23
10.21,-0.56
10.05,-2.24
9.81,-2.35
9.63,-1.12
9.58,0.0
9.73,1.79
9.99,2.69
10.22,1.23
10.27,-0.45
10.17,-1.12
9.98,-2.24
9.77,-1.57
9.72,0.34
9.82,2.24
10.15,3.47
10.33,1.12
10.22,-1.9
9.82,-4.25
9.46,-2.57
9.39,0.67
9.61,2.91
10.0,4.48
10.43,3.69
10.73,1.68
10.77,-0.9
10.56,-2.91
10.26,-3.58
9.95,-2.8
9.74,-1.79
9.72,0.78
9.95,1.79
10.19,2.57
10.41,2.01
10.51,-0.56
10.3,-3.47
9.97,-3.25
9.88,-0.56
10.01,1.57
10.28,2.57
10.51,1.45
10.56,0.11
10.51,-0.56
10.41,-1.79
10.18,-2.91
9.99,-1.9
10.03,0.56
10.19,2.01
10.41,1.57
10.54,0.56
10.63,0.45
10.68,0.0
10.66,-1.12
10.57,-0.9
10.55,0.22
10.63,1.12
10.68,0.0
10.65,-0.34
10.62,-0.67
10.53,-0.67
10.5,-0.45
10.46,-0.45
10.45,0.11
10.43,-0.34
10.36,-0.56
10.31,-0.78
10.33,0.56
10.38,0.9
10.39,0.0
10.35,-1.01
10.16,-1.9
10.02,-0.56
10.05,0.78
10.22,1.9
10.33,1.01
10.33,-0.9
10.19,-1.34
10.1,0.0
10.12,0.45
10.17,0.67
10.28,1.79
10.42,1.45
10.47,-0.22
10.37,-1.9
10.18,-1.9
10.07,-0.56
10.08,1.12
10.2,0.9
10.18,-0.45
10.03,-1.79
