time,pitch,velocity,m1,m2,m3,m4
0,0.93,0.0,1023,1023,1023,1023
10,0.93,0.0,1023,1023,1023,1023
20,0.93,-0.11,1023,1023,1023,1023
30,0.93,0.22,1023,1023,1023,1023
40,0.93,0.56,1023,1023,1023,1023
50,0.94,0.22,1023,1023,1023,1023
60,0.94,0.45,1023,1023,1023,1023
70,0.94,0.67,1023,1023,1023,1023
80,0.94,0.56,1023,1023,1023,1023
90,0.96,1.34,1023,1023,1023,1023
100,0.97,0.45,1023,1023,1023,1023
110,0.98,1.68,1023,1023,1023,1023
120,0.98,0.67,1023,1023,1023,1023
130,1.0,0.9,1023,1023,1023,1023
140,1.01,1.34,1023,1023,1023,1023
150,1.02,0.9,1023,1023,1023,1023
160,1.03,1.01,1023,1023,1023,1023
170,1.03,-0.11,1023,1023,1023,1023
180,1.04,1.23,1023,1023,1023,1023
190,1.05,1.68,1023,1023,1023,1023
200,1.07,2.57,1023,1023,1023,1023
210,1.09,2.13,1023,1023,1023,1023
220,1.12,2.35,1023,1023,1023,1023
230,1.14,3.02,1023,1023,1023,1023
240,1.18,3.36,1023,1023,1023,1023
250,1.21,3.25,1023,1023,1023,1023
260,1.24,3.13,1023,1023,1023,1023
270,1.27,2.8,1023,1023,1023,1023
280,1.3,3.58,1023,1023,1023,1023
290,1.34,4.25,1023,1023,1023,1023
300,1.38,4.14,1023,1023,1023,1023
310,1.42,4.7,1023,1023,1023,1023
320,1.48,5.71,1023,1023,1023,1023
330,1.55,8.06,1023,1023,1023,1023
340,1.63,8.17,1023,1023,1023,1023
350,1.72,9.4,1023,1023,1023,1023
360,1.81,10.41,1023,1023,1023,1023
370,1.92,11.53,1023,1023,1023,1023
380,2.04,11.53,1023,1023,1023,1023
390,2.16,12.76,1023,1023,1023,1023
400,2.28,12.2,1023,1023,1023,1023
410,2.41,11.97,1023,1023,1023,1023
420,2.52,12.2,1023,1023,1023,1023
430,2.65,11.75,1023,1023,1023,1023
440,2.77,11.53,1023,1023,1023,1023
450,2.88,11.41,1023,1023,1023,1023
460,2.98,10.3,1023,1023,1023,1023
470,3.09,10.63,1023,1023,1023,1023
480,3.2,10.41,1023,1023,1023,1023
490,3.3,10.07,1023,1023,1023,1023
500,3.4,10.41,1023,1023,1023,1023
510,3.5,9.29,1023,1023,1023,1023
520,3.59,8.62,1023,1023,1023,1023
530,3.67,7.83,1023,1023,1023,1023
540,3.74,6.83,1023,1023,1023,1023
550,3.81,6.83,1023,1023,1023,1023
560,3.87,5.93,1023,1023,1023,1023
570,3.93,6.15,1023,1023,1023,1023
580,3.99,5.6,1023,1023,1023,1023
590,4.04,4.48,1023,1023,1023,1023
600,4.08,3.58,1023,1023,1023,1023
610,4.11,2.57,1023,1023,1023,1023
620,4.13,2.24,1023,1023,1023,1023
630,4.14,0.78,1023,1023,1023,1023
640,4.14,-0.9,1023,1023,1023,1023
650,4.13,-1.45,1023,1023,1023,1023
660,4.11,-2.91,1023,1023,1023,1023
670,4.08,-3.36,1023,1023,1023,1023
680,4.04,-4.92,1023,1023,1023,1023
690,3.99,-6.04,1023,1023,1023,1023
700,3.92,-6.6,1023,1023,1023,1023
710,3.85,-7.72,1023,1023,1023,1023
720,3.77,-8.06,1023,1023,1023,1023
730,3.69,-8.73,1023,1023,1023,1023
740,3.6,-8.73,1023,1023,1023,1023
750,3.51,-8.73,1023,1023,1023,1023
760,3.42,-9.62,1023,1023,1023,1023
770,3.32,-9.29,1023,1023,1023,1023
780,3.22,-8.95,1023,1023,1023,1023
790,3.14,-7.39,1023,1023,1023,1023
800,3.07,-6.94,1023,1023,1023,1023
