time,pitch,velocity,m1,m2,m3,m4
0,1.09,-0.78,1023,1023,1023,1023
10,1.08,-0.45,1023,1023,1023,1023
20,1.08,-0.67,1023,1023,1023,1023
30,1.07,-0.67,1023,1023,1023,1023
40,1.07,0.0,1023,1023,1023,1023
50,1.07,0.0,1023,1023,1023,1023
60,1.07,-0.22,1023,1023,1023,1023
70,1.07,0.56,1023,1023,1023,1023
80,1.08,0.9,1023,1023,1023,1023
90,1.09,1.23,1023,1023,1023,1023
100,1.11,1.79,1023,1023,1023,1023
110,1.13,2.13,1023,1023,1023,1023
120,1.15,3.36,1023,1023,1023,1023
130,1.19,3.13,1023,1023,1023,1023
140,1.23,4.81,1023,1023,1023,1023
150,1.27,4.36,1023,1023,1023,1023
160,1.33,6.27,1023,1023,1023,1023
170,1.4,6.71,1023,1023,1023,1023
180,1.47,6.71,1023,1023,1023,1023
190,1.53,7.05,1023,1023,1023,1023
200,1.62,9.96,1023,1023,1023,1023
210,1.71,8.73,1023,1023,1023,1023
220,1.81,10.07,1023,1023,1023,1023
230,1.9,9.51,1023,1023,1023,1023
240,2.0,9.74,1023,1023,1023,1023
250,2.1,8.95,1023,1023,1023,1023
260,2.19,10.41,1023,1023,1023,1023
270,2.29,9.85,1023,1023,1023,1023
280,2.39,9.62,1023,1023,1023,1023
290,2.49,9.51,1023,1023,1023,1023
300,2.58,9.51,1023,1023,1023,1023
310,2.67,8.62,1023,1023,1023,1023
320,2.76,9.29,1023,1023,1023,1023
330,2.85,8.28,1023,1023,1023,1023
340,2.94,8.73,1023,1023,1023,1023
350,3.02,8.62,1023,1023,1023,1023
360,3.1,7.5,1023,1023,1023,1023
370,3.19,9.4,1023,1023,1023,1023
380,3.27,7.61,1023,1023,1023,1023
390,3.34,6.94,1023,1023,1023,1023
400,3.41,6.49,1023,1023,1023,1023
410,3.47,6.49,1023,1023,1023,1023
420,3.54,5.82,1023,1023,1023,1023
430,3.59,4.81,1023,1023,1023,1023
440,3.63,4.14,1023,1023,1023,1023
450,3.67,4.25,1023,1023,1023,1023
460,3.72,3.69,1023,1023,1023,1023
470,3.75,2.46,1023,1023,1023,1023
480,3.77,2.57,1023,1023,1023,1023
490,3.8,2.24,1023,1023,1023,1023
500,3.82,2.24,1023,1023,1023,1023
510,3.83,0.34,1023,1023,1023,1023
520,3.84,1.34,1023,1023,1023,1023
530,3.85,0.45,1023,1023,1023,1023
540,3.84,-0.9,1023,1023,1023,1023
550,3.84,-1.68,1023,1023,1023,1023
560,3.82,-1.79,1023,1023,1023,1023
570,3.8,-1.57,1023,1023,1023,1023
580,3.77,-2.69,1023,1023,1023,1023
590,3.75,-2.13,1023,1023,1023,1023
600,3.73,-2.46,1023,1023,1023,1023
610,3.71,-2.69,1023,1023,1023,1023
620,3.67,-3.47,1023,1023,1023,1023
630,3.63,-4.25,1023,1023,1023,1023
640,3.59,-4.7,1023,1023,1023,1023
650,3.53,-5.04,1023,1023,1023,1023
660,3.49,-5.6,1023,1023,1023,1023
670,3.43,-5.04,1023,1023,1023,1023
680,3.37,-6.6,1023,1023,1023,1023
690,3.31,-6.6,1023,1023,1023,1023
700,3.24,-6.83,1023,1023,1023,1023
710,3.17,-6.94,1023,1023,1023,1023
720,3.09,-7.83,1023,1023,1023,1023
730,3.02,-8.5,1023,1023,1023,1023
740,2.93,-8.06,1023,1023,1023,1023
750,2.84,-9.06,1023,1023,1023,1023
760,2.75,-9.51,1023,1023,1023,1023
770,2.66,-9.29,1023,1023,1023,1023
780,2.56,-10.63,1023,1023,1023,1023
790,2.45,-10.63,1023,1023,1023,1023
800,2.35,-9.62,1023,1023,1023,1023
810,2.25,-8.62,1023,1023,1023,1023
820,2.16,-8.84,1023,1023,1023,1023
830,2.08,-7.83,1023,1023,1023,1023
840,2.01,-7.39,1023,1023,1023,1023
850,1.93,-8.73,1023,1023,1023,1023
860,1.85,-7.61,1023,1023,1023,1023
870,1.77,-7.39,1023,1023,1023,1023
880,1.7,-7.61,1023,1023,1023,1023
890,1.62,-8.06,1023,1023,1023,1023
900,1.54,-7.83,1023,1023,1023,1023
910,1.46,-7.72,1023,1023,1023,1023
920,1.38,-7.95,1023,1023,1023,1023
930,1.3,-6.94,1023,1023,1023,1023
940,1.24,-6.15,1023,1023,1023,1023
950,1.17,-6.38,1023,1023,1023,1023
960,1.12,-4.92,1023,1023,1023,1023
970,1.07,-4.25,1023,1023,1023,1023
980,1.02,-3.8,1023,1023,1023,1023
990,0.99,-3.69,1023,1023,1023,1023
1000,0.96,-2.13,1023,1023,1023,1023
1010,0.94,-1.79,1023,1023,1023,1023
1020,0.92,-1.9,1023,1023,1023,1023
1030,0.91,0.22,1023,1023,1023,1023
1040,0.91,-0.45,1023,1023,1023,1023
1050,0.91,0.9,1023,1023,1023,1023
1060,0.93,1.57,1023,1023,1023,1023
1070,0.95,2.13,1023,1023,1023,1023
1080,0.96,2.01,1023,1023,1023,1023
1090,0.99,2.69,1023,1023,1023,1023
1100,1.02,3.02,1023,1023,1023,1023
1110,1.05,2.91,1023,1023,1023,1023
1120,1.08,4.03,1023,1023,1023,1023
1130,1.12,4.81,1023,1023,1023,1023
1140,1.17,4.14,1023,1023,1023,1023
1150,1.22,4.7,1023,1023,1023,1023
1160,1.26,5.15,1023,1023,1023,1023
1170,1.32,5.48,1023,1023,1023,1023
1180,1.37,4.81,1023,1023,1023,1023
1190,1.42,6.83,1023,1023,1023,1023
1200,1.49,6.71,1023,1023,1023,1023
1210,1.56,6.83,1023,1023,1023,1023
1220,1.63,7.39,1023,1023,1023,1023
1230,1.71,8.95,1023,1023,1023,1023
1240,1.8,7.72,1023,1023,1023,1023
1250,1.87,7.95,1023,1023,1023,1023
1260,1.96,8.95,1023,1023,1023,1023
1270,2.05,9.51,1023,1023,1023,1023
1280,2.14,9.29,1023,1023,1023,1023
