T_ang,A_ang,E_ang,Out_ang,T_vel,A_vel,E_vel,P_vel,I_vel,D_vel,M1,M2,M3,M4
0,1.33,-1.33,-2.67,-2.67,-0.11,-2.56,-0.26,-1.23,0,150,150,150,150
0,1.32,-1.32,-2.64,-2.64,-0.22,-2.42,-0.24,-2.49,0,151,150,150,151
0,1.33,-1.33,-2.66,-2.66,-0.34,-2.32,-0.23,-3.85,0,152,150,150,152
0,1.31,-1.31,-2.63,-2.63,-0.11,-2.52,-0.25,-5.09,0,152,150,150,152
0,1.31,-1.31,-2.61,-2.61,0.22,-2.84,-0.28,-6.43,0,153,150,150,153
0,1.3,-1.3,-2.6,-2.6,-0.11,-2.49,-0.25,-7.64,0,153,150,150,153
0,1.29,-1.29,-2.57,-2.57,-0.22,-2.35,-0.23,-8.86,0,154,150,150,154
0,1.28,-1.28,-2.56,-2.56,0,-2.56,-0.26,-10.1,0,155,150,150,155
0,1.27,-1.27,-2.53,-2.53,-0.34,-2.2,-0.22,-11.29,0,155,150,150,155
0,1.25,-1.25,-2.5,-2.5,0,-2.5,-0.25,-12.45,0,156,150,150,156
0,1.24,-1.24,-2.48,-2.48,-0.11,-2.36,-0.24,-13.63,0,156,150,150,156
0,1.22,-1.22,-2.43,-2.43,-0.22,-2.21,-0.22,-14.75,0,157,150,150,157
0,1.18,-1.18,-2.36,-2.36,-0.22,-2.14,-0.21,-15.77,0,157,150,150,157
0,1.17,-1.17,-2.34,-2.34,0,-2.34,-0.23,-16.91,0,158,150,150,158
0,1.18,-1.18,-2.37,-2.37,0.11,-2.48,-0.25,-18.13,0,159,150,150,159
0,1.18,-1.18,-2.35,-2.35,0,-2.35,-0.24,-19.29,0,159,150,150,159
0,1.15,-1.15,-2.3,-2.3,-0.22,-2.07,-0.21,-20.29,0,160,150,150,160
0,1.13,-1.13,-2.25,-2.25,-0.11,-2.14,-0.21,-21.33,0,160,150,150,160
0,1.12,-1.12,-2.24,-2.24,-0.11,-2.13,-0.21,-22.44,0,161,150,150,161
0,1.13,-1.13,-2.27,-2.27,0,-2.27,-0.23,-24.62,0,162,150,150,162
0,1.13,-1.13,-2.26,-2.26,-0.22,-2.03,-0.2,-25.73,0,162,150,150,162
0,1.11,-1.11,-2.21,-2.21,-0.34,-1.88,-0.19,-26.75,0.02,163,150,150,163
0,1.08,-1.08,-2.16,-2.16,-0.11,-2.05,-0.2,-27.71,-0.05,163,150,150,163
0,1.09,-1.09,-2.19,-2.19,0.34,-2.52,-0.25,-28.84,0,164,150,150,164
0,1.1,-1.1,-2.2,-2.2,-0.22,-1.98,-0.2,-29.97,0.03,165,150,150,165
0,1.04,-1.04,-2.08,-2.08,-0.78,-1.29,-0.13,-31.89,-0.01,166,150,150,166
0,1,-1,-2.01,-2.01,-0.11,-1.9,-0.19,-32.7,0,166,150,150,166
0,1.01,-1.01,-2.02,-2.02,0.34,-2.36,-0.24,-33.73,0,166,150,150,166
0,1,-1,-2.01,-2.01,0,-2.01,-0.2,-34.7,0,167,150,150,167
0,1.03,-1.03,-2.05,-2.05,0.11,-2.16,-0.22,-35.83,0,168,150,150,168
5,0.99,4.01,-1.98,-1.98,-1.12,-0.86,-0.09,-36.66,0,168,150,150,168
5,0.85,4.15,8.3,8.3,-1.79,10.09,1.01,-31.83,0,165,150,150,165
5,0.72,4.28,8.56,8.56,-0.67,9.24,0.92,-26.94,0,163,150,150,163
5,0.79,4.21,8.41,8.41,1.57,6.84,0.68,-23.06,0,161,150,150,161
5,0.98,4.02,8.05,8.05,1.23,6.82,0.68,-19.83,0,159,150,150,159
5,0.99,4.01,8.02,8.02,-0.9,8.91,0.89,-15.86,0,157,150,150,157
5,0.78,4.22,8.44,8.44,-1.9,10.34,1.03,-10.68,0,154,150,150,154
5,0.81,4.19,8.38,8.38,2.24,6.14,0.61,-6.58,0,152,150,150,152
5,1.11,3.89,7.78,7.78,2.8,4.98,0.5,-4.1,0,151,150,150,151
5,1.17,3.83,7.65,7.65,-1.23,8.88,0.89,-0.5,0,150,150,150,150
5,1.01,3.99,7.97,7.97,-0.78,8.76,0.88,4.22,0,150,152,152,150
5,1.11,3.89,7.78,7.78,1.9,5.88,0.59,7.67,0,150,154,154,150
5,1.25,3.75,7.5,7.5,0.78,6.72,0.67,10.78,0,150,155,155,150
5,1.23,3.77,7.54,7.54,-0.22,7.76,0.78,14.64,0,150,157,157,150
5,1.24,3.76,7.51,7.51,0.56,6.95,0.7,18.33,0,150,159,159,150
5,1.29,3.71,7.41,7.41,0.22,7.19,0.72,21.83,0,150,161,161,150
5,1.32,3.68,7.36,7.36,0.22,7.13,0.71,25.36,0,150,163,163,150
5,1.37,3.63,7.26,7.26,0.78,6.48,0.65,28.73,0,150,164,164,150
5,1.5,3.5,7.01,7.01,1.01,6,0.6,31.62,0,150,166,166,150
5,1.53,3.47,6.94,6.94,-0.45,7.38,0.74,34.9,0,150,167,167,150
5,1.48,3.52,7.05,7.05,0,7.05,0.7,38.68,0,150,169,169,150
5,1.52,3.48,6.96,6.96,0.45,6.52,0.65,41.95,0,150,171,171,150
