A_Ang,A_vel
-0.86,0.56
-0.73,1.68
-0.5,2.69
-0.22,3.02
0.04,2.13
0.37,4.7
0.94,6.49
1.75,8.95
2.84,12.87
4.13,11.3
4.88,5.82
4.82,-4.81
4.17,-6.15
3.96,0.56
4.41,6.04
4.84,2.24
4.91,0.0
5.06,2.13
5.27,2.24
5.63,4.36
6.28,8.5
7.36,11.97
8.57,11.41
10.02,15.22
11.41,12.42
12.43,8.95
13.32,7.61
13.98,5.04
14.37,3.13
14.72,3.36
14.98,1.57
15.1,0.11
15.15,0.22
15.29,1.45
15.5,2.46
15.86,4.25
16.38,5.48
17.04,6.83
17.67,5.37
18.08,3.8
18.5,5.04
18.95,4.25
19.38,4.25
19.77,3.58
20.09,3.25
20.51,4.48
20.97,4.48
21.34,3.02
21.57,2.46
21.98,4.92
22.53,6.27
23.33,8.17
23.74,1.68
23.81,1.01
24.03,4.03
24.46,4.81
25.0,5.6
25.6,4.81
25.85,1.57
25.88,0.22
25.82,0.67
26.0,3.02
26.53,6.71
27.34,9.74
28.35,8.73
28.57,-0.9
28.05,-7.27
27.25,-6.83
26.99,0.9
27.32,6.04
28.03,9.18
29.06,10.63
29.85,5.71
30.09,1.45
30.17,0.0
29.86,-4.14
29.41,-3.47
29.35,0.67
29.37,1.01
29.44,1.57
29.86,2.8
29.92,-0.56
29.85,-0.34
29.8,-1.45
29.6,-1.79
29.52,0.56
29.6,1.34
29.92,4.48
30.36,4.25
31.0,6.49
31.58,5.37
31.87,0.45
31.65,-4.14
31.15,-4.92
30.73,-3.69
30.48,-1.9
30.89,6.71
31.63,7.27
31.87,-0.9
31.42,-5.82
30.77,-5.37
30.64,1.23
31.0,5.26
31.44,4.25
31.85,3.36
31.8,-4.14
31.14,-7.95
30.41,-6.04
30.19,1.34
30.76,9.29
31.73,9.96
32.25,2.24
31.82,-6.94
30.74,-11.3
30.22,0.9
30.67,6.71
31.24,5.48
31.35,-0.9
30.68,-8.84
29.89,-4.81
29.88,3.58
30.37,7.05
30.86,3.69
31.07,1.68
30.87,-2.46
30.33,-5.04
