time,roll,velocity,m1,m2,m3,m4
0,4.97,0.34,1023,1023,1023,1023
10,4.98,0.22,1023,1023,1023,1023
20,4.97,0.0,1023,1023,1023,1023
30,4.97,-0.11,1023,1023,1023,1023
40,4.97,-0.34,1023,1023,1023,1023
50,4.97,-0.34,1023,1023,1023,1023
60,4.97,0.56,1023,1023,1023,1023
70,4.97,0.56,1023,1023,1023,1023
80,4.99,2.46,1023,1023,1023,1023
90,5.01,2.8,1023,1023,1023,1023
100,5.04,4.25,1023,1023,1023,1023
110,5.09,4.48,1023,1023,1023,1023
120,5.15,7.83,1023,1023,1023,1023
130,5.22,6.71,1023,1023,1023,1023
140,5.3,8.5,1023,1023,1023,1023
150,5.41,16.9,1023,1023,1023,1023
160,5.58,16.34,1023,1023,1023,1023
170,5.75,17.01,1023,1023,1023,1023
180,6.15,23.95,1023,1023,1023,1023
190,6.15,23.95,1023,1023,1023,1023
200,6.4,23.5,1023,1023,1023,1023
210,6.63,23.95,1023,1023,1023,1023
220,6.9,28.65,1023,1023,1023,1023
230,7.21,32.45,1023,1023,1023,1023
240,7.52,31.22,1023,1023,1023,1023
250,7.84,33.57,1023,1023,1023,1023
260,8.17,32.45,1023,1023,1023,1023
270,8.49,32.12,1023,1023,1023,1023
280,9.21,38.38,1023,1023,1023,1023
290,9.21,38.38,1023,1023,1023,1023
300,9.62,38.27,1023,1023,1023,1023
310,9.99,39.06,1023,1023,1023,1023
320,10.36,38.72,1023,1023,1023,1023
330,10.76,41.41,1023,1023,1023,1023
340,11.2,41.41,1023,1023,1023,1023
350,11.61,41.41,1023,1023,1023,1023
360,12.02,41.63,1023,1023,1023,1023
370,12.44,39.95,1023,1023,1023,1023
380,12.81,38.94,1023,1023,1023,1023
390,13.19,37.82,1023,1023,1023,1023
400,13.56,36.71,1023,1023,1023,1023
410,13.94,34.69,1023,1023,1023,1023
420,14.25,30.55,1023,1023,1023,1023
430,14.54,26.63,1023,1023,1023,1023
440,14.78,22.05,1023,1023,1023,1023
450,14.99,18.24,1023,1023,1023,1023
460,15.14,13.54,1023,1023,1023,1023
470,15.26,10.18,1023,1023,1023,1023
480,15.34,6.15,1023,1023,1023,1023
490,15.37,1.12,1023,1023,1023,1023
500,15.37,-3.02,1023,1023,1023,1023
510,15.31,-8.06,1023,1023,1023,1023
520,15.21,-12.53,1023,1023,1023,1023
530,15.05,-16.9,1023,1023,1023,1023
540,14.86,-20.93,1023,1023,1023,1023
550,14.64,-23.28,1023,1023,1023,1023
560,14.4,-24.06,1023,1023,1023,1023
570,14.17,-24.84,1023,1023,1023,1023
580,13.91,-25.51,1023,1023,1023,1023
590,13.65,-26.75,1023,1023,1023,1023
600,13.38,-25.96,1023,1023,1023,1023
610,13.11,-25.74,1023,1023,1023,1023
620,12.87,-25.07,1023,1023,1023,1023
630,12.62,-23.84,1023,1023,1023,1023
640,12.38,-22.94,1023,1023,1023,1023
650,12.15,-23.05,1023,1023,1023,1023
660,11.92,-24.28,1023,1023,1023,1023
670,11.67,-25.74,1023,1023,1023,1023
680,11.39,-25.74,1023,1023,1023,1023
690,11.15,-25.63,1023,1023,1023,1023
700,10.89,-25.51,1023,1023,1023,1023
710,10.62,-25.96,1023,1023,1023,1023
720,10.35,-27.86,1023,1023,1023,1023
730,10.08,-27.42,1023,1023,1023,1023
740,9.8,-25.96,1023,1023,1023,1023
750,9.56,-24.73,1023,1023,1023,1023
760,9.32,-22.49,1023,1023,1023,1023
770,9.11,-21.15,1023,1023,1023,1023
780,8.9,-19.7,1023,1023,1023,1023
790,8.72,-16.0,1023,1023,1023,1023
800,8.56,-15.0,1023,1023,1023,1023
810,8.42,-13.43,1023,1023,1023,1023
820,8.3,-11.19,1023,1023,1023,1023
830,8.19,-9.62,1023,1023,1023,1023
840,8.09,-8.28,1023,1023,1023,1023
850,8.03,-4.92,1023,1023,1023,1023
860,7.99,-2.01,1023,1023,1023,1023
870,7.99,1.9,1023,1023,1023,1023
880,8.02,3.58,1023,1023,1023,1023
890,8.07,5.82,1023,1023,1023,1023
900,8.14,8.5,1023,1023,1023,1023
910,8.24,11.3,1023,1023,1023,1023
920,8.37,15.33,1023,1023,1023,1023
930,8.53,18.24,1023,1023,1023,1023
940,8.73,20.93,1023,1023,1023,1023
950,8.95,23.84,1023,1023,1023,1023
960,9.22,28.09,1023,1023,1023,1023
970,9.51,30.55,1023,1023,1023,1023
980,9.82,32.45,1023,1023,1023,1023
990,10.15,33.8,1023,1023,1023,1023
1000,10.49,35.25,1023,1023,1023,1023
1010,10.87,35.03,1023,1023,1023,1023
1020,11.2,35.81,1023,1023,1023,1023
1030,11.59,37.94,1023,1023,1023,1023
1040,11.97,38.27,1023,1023,1023,1023
1050,12.33,38.05,1023,1023,1023,1023
1060,12.69,36.03,1023,1023,1023,1023
1070,13.06,35.7,1023,1023,1023,1023
1080,13.4,33.57,1023,1023,1023,1023
1090,13.73,31.45,1023,1023,1023,1023
1100,14.03,29.32,1023,1023,1023,1023
1110,14.31,26.86,1023,1023,1023,1023
1120,14.57,24.51,1023,1023,1023,1023
1130,14.8,20.7,1023,1023,1023,1023
1140,14.98,16.56,1023,1023,1023,1023
1150,15.13,13.43,1023,1023,1023,1023
1160,15.24,8.73,1023,1023,1023,1023
1170,15.31,4.81,1023,1023,1023,1023
1180,15.33,0.56,1023,1023,1023,1023
1190,15.31,-3.8,1023,1023,1023,1023
1200,15.26,-7.05,1023,1023,1023,1023
1210,15.17,-11.41,1023,1023,1023,1023
1220,15.04,-13.2,1023,1023,1023,1023
1230,14.91,-14.1,1023,1023,1023,1023
1240,14.75,-16.56,1023,1023,1023,1023
1250,14.58,-17.57,1023,1023,1023,1023
1260,14.41,-17.68,1023,1023,1023,1023
1270,14.23,-18.13,1023,1023,1023,1023
1280,14.04,-18.69,1023,1023,1023,1023
1290,13.85,-19.81,1023,1023,1023,1023
1300,13.64,-22.05,1023,1023,1023,1023
1310,13.42,-21.93,1023,1023,1023,1023
1320,13.19,-23.5,1023,1023,1023,1023
1330,12.94,-24.51,1023,1023,1023,1023
1340,12.69,-25.85,1023,1023,1023,1023
1350,12.42,-27.31,1023,1023,1023,1023
1360,12.15,-27.64,1023,1023,1023,1023
1370,11.87,-26.63,1023,1023,1023,1023
1380,11.62,-25.96,1023,1023,1023,1023
1390,11.35,-26.07,1023,1023,1023,1023
1400,11.1,-25.63,1023,1023,1023,1023
1410,10.84,-24.4,1023,1023,1023,1023
1420,10.6,-23.95,1023,1023,1023,1023
1430,10.37,-22.6,1023,1023,1023,1023
1440,10.14,-22.16,1023,1023,1023,1023
1450,9.93,-20.14,1023,1023,1023,1023
1460,9.73,-19.7,1023,1023,1023,1023
1470,9.54,-18.13,1023,1023,1023,1023
1480,9.37,-16.11,1023,1023,1023,1023
1490,9.22,-14.21,1023,1023,1023,1023
1500,9.09,-12.53,1023,1023,1023,1023
1510,8.97,-10.07,1023,1023,1023,1023
1520,8.88,-9.18,1023,1023,1023,1023
